Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
4.0,86.0,2.0,1.0,1.0,4.0,1.0,0,1,21.0,0,6.0,34.0,6.0,95.80851063829788,0,0,1,0,0,0,0,0,0,0,0
2.0,82.0,2.0,1.0,1.0,3.0,1.0,0,1,40.0,0,5.0,29.765217391304347,6.0,120.0,0,0,0,0,0,0,0,1,0,0,0
2.0,142.0,3.0,2.0,1.0,6.0,3.0,0,1,53.0,0,6.0,50.0,7.0,45.0,0,1,0,0,0,0,0,0,0,0,0
4.0,100.0,2.0,1.0,1.0,3.0,1.0,0,1,12.213333333333331,0,6.0,33.114285714285714,4.0,378.2321428571428,0,0,0,0,0,0,0,0,0,1,0
2.0,70.0,2.0,1.0,1.0,4.0,2.0,0,1,9.0,0,4.0,28.0,3.0,224.0,0,1,0,0,0,0,0,0,0,0,0
3.0,93.0,2.0,1.0,1.0,4.0,1.0,0,1,15.0,0,6.0,45.0,9.0,90.8974358974359,0,0,0,0,0,0,0,0,0,1,0
2.0,127.0,2.0,1.0,1.0,4.0,2.0,0,1,8.0,0,4.0,41.48275862068966,6.0,181.0,1,0,0,0,0,0,0,0,0,0,0
2.0,91.0,2.0,1.0,1.0,3.0,1.0,0,1,12.0,0,5.0,41.48275862068966,6.0,151.9254887218045,1,0,0,0,0,0,0,0,0,0,0
2.0,132.0,3.0,1.0,1.0,3.0,3.0,0,1,25.0,0,6.0,37.02173913043478,6.0,122.58333333333331,0,0,0,0,0,0,0,0,1,0,0
4.0,126.0,3.0,2.0,2.0,7.0,3.0,0,1,18.0,0,6.0,55.625,6.0,123.34375,1,0,0,0,0,0,0,0,0,0,0
2.0,108.0,2.0,1.0,1.0,3.0,1.0,0,1,12.0,0,6.0,30.96,7.0,131.8421052631579,0,0,0,0,1,0,0,0,0,0,0
2.0,91.0,2.0,1.0,1.0,4.0,1.0,0,0,18.07547169811321,0,4.0,30.0,4.0,350.0,0,0,0,0,0,0,0,0,0,0,1
2.0,90.0,3.0,1.0,1.0,5.0,1.0,0,0,13.392523364485982,0,4.0,30.75675675675676,5.0,261.0,0,0,0,0,0,0,0,0,0,0,1
2.0,95.0,2.0,1.0,1.0,3.0,1.0,0,0,13.058823529411764,0,4.0,26.05,3.0,374.0,0,0,0,0,0,0,1,0,0,0,0
2.0,131.0,3.0,2.0,1.0,6.0,3.0,0,1,19.0,0,6.0,41.0,6.0,138.7391304347826,0,0,0,0,0,0,0,1,0,0,0
2.0,93.0,2.0,1.0,1.0,4.0,1.0,0,0,8.852459016393443,0,4.0,26.89855072463768,2.0,476.0,0,0,0,0,1,0,0,0,0,0,0
2.0,91.0,2.0,2.0,1.0,5.0,3.0,0,0,29.205128205128204,0,6.0,38.8,7.0,94.0,0,0,0,0,0,0,0,0,0,0,1
2.0,125.0,2.0,2.0,2.0,6.0,3.0,0,1,25.0,0,6.0,40.0,5.0,111.0,0,1,0,0,0,0,0,0,0,0,0
2.0,75.0,1.0,1.0,1.0,3.0,3.0,0,1,17.0,0,6.0,32.0,6.0,163.68421052631578,0,0,0,0,0,0,0,1,0,0,0
2.0,86.0,2.0,1.0,1.0,4.0,0.0,0,1,10.0,0,6.0,86.0,6.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
4.0,107.0,2.0,2.0,2.0,6.0,3.0,0,1,10.0,0,6.0,56.072463768115945,7.0,44.0,0,1,0,0,0,0,0,0,0,0,0
2.0,99.0,2.0,1.0,1.0,4.0,0.0,0,1,8.0,0,6.0,39.0,6.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
2.0,86.0,2.0,1.0,1.0,3.0,1.0,0,1,13.392523364485982,0,4.0,30.75675675675676,7.0,78.0,0,0,0,0,0,0,0,0,0,0,1
4.0,123.0,3.0,2.0,1.0,6.0,1.0,0,1,23.0,0,6.0,30.125,6.0,130.96,0,0,0,0,0,0,0,0,0,0,1
3.0,86.0,2.0,1.0,1.0,4.0,3.0,0,1,8.0,0,6.0,33.66778523489933,7.0,44.0,0,1,0,0,0,0,0,0,0,0,0
2.0,40.0,1.0,1.0,1.0,3.0,1.0,0,1,17.97142857142857,0,6.0,32.92857142857143,7.0,91.0,0,0,0,0,0,0,0,0,0,0,1
2.0,68.0,1.0,1.0,1.0,3.0,1.0,0,1,10.0,0,4.0,32.666666666666664,6.0,139.9142857142857,0,0,0,1,0,0,0,0,0,0,0
2.0,69.0,1.0,1.0,1.0,3.0,2.0,0,1,7.63768115942029,0,2.0,29.546875,2.0,1019.0,1,0,0,0,0,0,0,0,0,0,0
2.0,93.0,2.0,1.0,1.0,4.0,1.0,0,1,11.0,0,6.0,30.0,6.0,86.0,0,0,0,0,0,0,1,0,0,0,0
4.0,89.0,2.0,1.0,1.0,2.0,1.0,0,1,11.52906976744186,0,6.0,30.59036144578313,7.0,84.30985915492958,0,0,0,0,0,0,1,0,0,0,0
2.0,130.0,2.0,1.0,2.0,3.0,2.0,0,0,18.225,0,6.0,110.0,5.0,129.0,0,1,0,0,0,0,0,0,0,0,0
2.0,169.0,2.0,1.0,2.0,5.0,3.0,0,1,28.14814814814815,0,4.0,30.125,6.0,107.0,0,0,0,0,0,0,0,0,0,0,1
2.0,101.0,2.0,1.0,1.0,2.0,1.0,0,0,21.34426229508197,1,6.0,18.0,7.0,131.8421052631579,0,0,0,0,1,0,0,0,0,0,0
2.0,88.0,2.0,1.0,1.0,4.0,2.0,0,0,12.334437086092716,0,4.0,32.317880794701985,6.0,150.0,1,0,0,0,0,0,0,0,0,0,0
2.0,86.0,2.0,1.0,1.0,3.0,1.0,0,1,8.0,0,6.0,33.66778523489933,5.0,202.54992167101827,0,1,0,0,0,0,0,0,0,0,0
3.0,90.0,2.0,2.0,1.0,5.0,1.0,0,1,16.0,0,4.0,33.0,6.0,73.0,0,1,0,0,0,0,0,0,0,0,0
2.0,94.0,2.0,1.0,1.0,4.0,1.0,0,1,7.0,0,4.0,40.0,7.0,66.0,0,0,0,0,0,0,0,1,0,0,0
2.0,92.0,2.0,1.0,1.0,4.0,2.0,0,1,6.0,0,4.0,26.0,1.0,749.0,0,1,0,0,0,0,0,0,0,0,0
2.0,114.0,2.0,2.0,2.0,6.0,3.0,0,1,13.0,0,6.0,39.0,6.0,50.0,0,1,0,0,0,0,0,0,0,0,0
