Price,Postal Code,Facades,Habitable Surface,Land Surface,Type,Subtype,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,Heating Type,Province
325000.0,1050,2.0,59.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,USA_SEMI_EQUIPPED,0,0,,0,AS_NEW,20.0,D,175.0,GAS,BRUSSEL
275000.0,1080,2.0,93.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,,0,1,8.0,0,GOOD,30.0,D,166.0,GAS,BRUSSEL
229000.0,1080,,95.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,INSTALLED,0,1,,0,GOOD,39.0,D,176.0,GAS,BRUSSEL
235000.0,1080,2.0,,,APARTMENT,APARTMENT,3.0,1.0,1.0,5.0,HYPER_EQUIPPED,0,1,9.0,0,GOOD,,F,322.0,FUELOIL,BRUSSEL
220000.0,1080,2.0,,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,6.0,0,AS_NEW,,,,FUELOIL,BRUSSEL
349000.0,1030,2.0,100.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,,0,1,,0,,,E,262.0,GAS,BRUSSEL
298000.0,1190,2.0,111.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,USA_INSTALLED,0,1,10.0,0,,38.0,C,138.0,GAS,BRUSSEL
248000.0,1000,,68.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,USA_INSTALLED,0,1,8.0,0,GOOD,31.0,C,97.0,,BRUSSEL
255000.0,9000,,60.0,,APARTMENT,APARTMENT,1.0,,,1.0,HYPER_EQUIPPED,0,1,10.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
260000.0,9000,,60.0,,APARTMENT,APARTMENT,1.0,,,1.0,HYPER_EQUIPPED,0,1,10.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
275000.0,9000,,61.0,,APARTMENT,APARTMENT,1.0,,,1.0,HYPER_EQUIPPED,0,1,10.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
