ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,Parking box count
11190415,NAMUR,5000,1976,,47,,APARTMENT,APARTMENT,160000,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,,B,116,989,,BUY_REGULAR,GAS,,,,,,,
11189795,Zedelgem,8210,1996,,90,,APARTMENT,APARTMENT,209000,NORMAL_SALE,3,,,3,False,,,False,False,,True,,,False,,,,GOOD,,B,108,845,False,BUY_REGULAR,,,,,,,,
11190520,VILVOORDE,1800,1961,2,90,,APARTMENT,APARTMENT,239000,NORMAL_SALE,2,1,1,4,True,9,SEMI_EQUIPPED,False,False,,True,5,,False,,,,GOOD,42,D,385,788,,BUY_REGULAR,GAS,,,,,1,,
11190521,VILVOORDE,1800,1961,2,90,,APARTMENT,APARTMENT,249000,NORMAL_SALE,2,1,1,4,True,9,SEMI_EQUIPPED,False,False,,True,5,,False,,,,GOOD,42,D,311,684,,BUY_REGULAR,GAS,,,,,1,,
11191764,Nieuwpoort,8620,1993,,61,,APARTMENT,APARTMENT,329000,NORMAL_SALE,2,1,1,4,True,4,INSTALLED,False,False,,True,5,,False,,,,,25,C,208,853,False,BUY_REGULAR,ELECTRIC,,,,,,,
11188521,Oostende,8400,,,105,,APARTMENT,APARTMENT,339000,NORMAL_SALE,2,1,1,4,False,9,,False,False,,True,3,,False,,,,GOOD,33,B,111,1103,False,BUY_REGULAR,,,,,,,,
11188501,Oostende,8400,1956,,133,,APARTMENT,APARTMENT,399000,NORMAL_SALE,4,2,2,8,True,,INSTALLED,False,False,,False,,,False,,,,AS_NEW,,C,287,951,False,BUY_REGULAR,GAS,,,,,,,
11190751,Forest,1190,1958,2,189,,APARTMENT,DUPLEX,775000,NORMAL_SALE,3,2,2,7,True,20,USA_HYPER_EQUIPPED,False,False,,True,12,,False,,,False,AS_NEW,48,C,113,2725,False,BUY_REGULAR,GAS,,,,,,2,
11191637,Knokke-Zoute,8300,1966,4,128,,APARTMENT,APARTMENT,1475000,NORMAL_SALE,3,3,2,8,True,,HYPER_EQUIPPED,False,False,,False,,,False,,,,,,B,119,1722,False,BUY_REGULAR,GAS,,,,,,,
11039954,Knokke-Zoute,8300,1966,4,128,,APARTMENT,APARTMENT,1475000,NORMAL_SALE,3,3,2,8,True,,HYPER_EQUIPPED,False,False,,False,,,False,,,,,,B,119,1722,False,BUY_REGULAR,GAS,,,,,,,
11162152,La Louvière,7100,1874,2,97,79,HOUSE,HOUSE,65000,NORMAL_SALE,2,1,1,4,True,10,SEMI_EQUIPPED,False,False,,True,,,False,,,False,TO_BE_DONE_UP,,G,586,324,True,BUY_REGULAR,GAS,,True,CONNECTED,,,,
11197047,BERCHEM-SAINTE-AGATHE,1082,,2,120,,APARTMENT,DUPLEX,260000,NORMAL_SALE,2,2,2,6,True,,NOT_INSTALLED,False,False,,True,31,,False,,,,GOOD,42,,,0,,BUY_REGULAR,GAS,,,,,1,,
11197046,Quaregnon,7390,,4,230,904,HOUSE,VILLA,450000,NORMAL_SALE,4,1,,5,False,14,,False,False,,False,,,False,,,False,,,C,201,1,False,BUY_REGULAR,GAS,,True,NOT_CONNECTED,,1,,
11197045,BERCHEM-SAINTE-AGATHE,1082,2022,2,100,,APARTMENT,APARTMENT,225000,NORMAL_SALE,2,1,1,4,True,,NOT_INSTALLED,False,False,,True,12,,False,,,,TO_RENOVATE,28,,,0,,BUY_REGULAR,GAS,,,,,1,,
11197044,BERCHEM-SAINTE-AGATHE,1082,2022,2,100,,APARTMENT,APARTMENT,225000,NORMAL_SALE,2,1,1,4,True,,NOT_INSTALLED,False,False,,True,12,,False,,,,TO_RENOVATE,28,,,0,,BUY_REGULAR,GAS,,,,,1,,
11197042,EMBLEM,2520,2019,3,210,252,HOUSE,HOUSE,599000,NORMAL_SALE,5,2,2,9,True,,INSTALLED,False,True,-1,True,15,,True,93,NORTH_WEST,,AS_NEW,57,A,63,0,False,BUY_REGULAR,,,True,,,,2,
11197041,NIJLEN,2560,1991,4,525,3805,HOUSE,VILLA,899000,NORMAL_SALE,3,3,,6,True,,INSTALLED,False,True,1,True,,,True,,SOUTH,True,AS_NEW,,B,197,1922,False,BUY_REGULAR,GAS,,False,,,2,4,
11197038,ETTERBEEK,1040,,,93,,APARTMENT,APARTMENT,370000,NORMAL_SALE,2,1,1,4,True,11,HYPER_EQUIPPED,False,False,,True,9,,False,,,,,36,,,0,,BUY_REGULAR,,,,,,,,
11197037,LAEKEN (BRU.),1020,1964,3,167,0,HOUSE,HOUSE,499000,NORMAL_SALE,6,1,2,9,True,10,SEMI_EQUIPPED,False,False,,False,,,False,,,,,46,G,514,0,,BUY_REGULAR,GAS,,True,,,,,
11197036,ETTERBEEK,1040,,,87,,APARTMENT,APARTMENT,370000,NORMAL_SALE,2,1,1,4,True,11,HYPER_EQUIPPED,False,False,,True,10,,False,,,,,33,,,0,,BUY_REGULAR,,,,,,,,
11197034,BRUXELLES,1000,,2,50,,APARTMENT,APARTMENT,230000,NORMAL_SALE,1,,1,2,True,,SEMI_EQUIPPED,False,False,,False,,,False,,,,,25,D,168,0,True,BUY_REGULAR,GAS,,,,,,,
11197033,AUDERGHEM,1160,1913,2,277,0,HOUSE,HOUSE,625000,NORMAL_SALE,6,1,3,10,True,12,SEMI_EQUIPPED,False,False,,True,20,,True,50,SOUTH,,TO_BE_DONE_UP,35,F,308,0,,BUY_REGULAR,GAS,,False,,,,,
11197032,SCHAARBEEK,1030,1948,3,90,,APARTMENT,APARTMENT,269000,NORMAL_SALE,2,1,1,4,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,30,G,361,0,,BUY_REGULAR,GAS,,,,,,,
11197031,ETTERBEEK,1040,,2,320,0,HOUSE,APARTMENT_BLOCK,1355000,NORMAL_SALE,10,2,3,15,True,,SEMI_EQUIPPED,False,False,,False,,,False,,,,,45,G,437,0,,BUY_REGULAR,FUELOIL,,True,,,1,,
11197029,EVERE,1140,1998,3,45,,APARTMENT,APARTMENT,198000,NORMAL_SALE,1,,1,2,True,,SEMI_EQUIPPED,True,False,,True,4,,False,,,,GOOD,25,F,280,0,,BUY_REGULAR,ELECTRIC,,,,,,,
11165858,Trooz,4870,,4,108,396,HOUSE,VILLA,174000,NORMAL_SALE,2,1,1,4,True,,INSTALLED,False,False,,True,18,,True,300,,,TO_RENOVATE,,F,475,0,False,BUY_REGULAR,FUELOIL,,,NOT_CONNECTED,,1,1,
